goos: darwin
goarch: amd64
pkg: github.com/dryarullin/gopher-celery/internal/protocol
cpu: Intel(R) Core(TM) i5-10600 CPU @ 3.30GHz
BenchmarkJSONSerializerEncode_v1Args-12          	  968157	      1202 ns/op	     672 B/op	       4 allocs/op
BenchmarkJSONSerializerEncode_v1Args-12          	  991500	      1209 ns/op	     672 B/op	       4 allocs/op
BenchmarkJSONSerializerEncode_v1Args-12          	  984794	      1206 ns/op	     672 B/op	       4 allocs/op
BenchmarkJSONSerializerEncode_v1Args-12          	  991324	      1207 ns/op	     672 B/op	       4 allocs/op
BenchmarkJSONSerializerEncode_v1Args-12          	  991214	      1244 ns/op	     672 B/op	       4 allocs/op
BenchmarkJSONSerializerEncode_v1Args-12          	  984279	      1205 ns/op	     672 B/op	       4 allocs/op
BenchmarkJSONSerializerEncode_v1Args-12          	  964975	      1205 ns/op	     673 B/op	       4 allocs/op
BenchmarkJSONSerializerEncode_v1Kwargs-12        	  695530	      1677 ns/op	    1001 B/op	      10 allocs/op
BenchmarkJSONSerializerEncode_v1Kwargs-12        	  694477	      1688 ns/op	    1001 B/op	      10 allocs/op
BenchmarkJSONSerializerEncode_v1Kwargs-12        	  702664	      1687 ns/op	    1001 B/op	      10 allocs/op
BenchmarkJSONSerializerEncode_v1Kwargs-12        	  700444	      1682 ns/op	    1001 B/op	      10 allocs/op
BenchmarkJSONSerializerEncode_v1Kwargs-12        	  692666	      1682 ns/op	    1001 B/op	      10 allocs/op
BenchmarkJSONSerializerEncode_v1Kwargs-12        	  705742	      1685 ns/op	    1001 B/op	      10 allocs/op
BenchmarkJSONSerializerEncode_v1Kwargs-12        	  702127	      1679 ns/op	    1001 B/op	      10 allocs/op
BenchmarkJSONSerializerEncode_v1Kwargs-12        	  693442	      1680 ns/op	    1001 B/op	      10 allocs/op
BenchmarkJSONSerializerEncode_v1Kwargs-12        	  675585	      1680 ns/op	    1001 B/op	      10 allocs/op
BenchmarkJSONSerializerEncode_v1Kwargs-12        	  699783	      1687 ns/op	    1001 B/op	      10 allocs/op
BenchmarkJSONSerializerEncode_v1ArgsKwargs-12    	  668502	      1775 ns/op	    1001 B/op	      10 allocs/op
BenchmarkJSONSerializerEncode_v1ArgsKwargs-12    	  639879	      1775 ns/op	    1001 B/op	      10 allocs/op
BenchmarkJSONSerializerEncode_v1ArgsKwargs-12    	  671182	      1776 ns/op	    1001 B/op	      10 allocs/op
BenchmarkJSONSerializerEncode_v1ArgsKwargs-12    	  668834	      1769 ns/op	    1001 B/op	      10 allocs/op
BenchmarkJSONSerializerEncode_v1ArgsKwargs-12    	  671733	      1770 ns/op	    1001 B/op	      10 allocs/op
BenchmarkJSONSerializerEncode_v1ArgsKwargs-12    	  659529	      1773 ns/op	    1001 B/op	      10 allocs/op
BenchmarkJSONSerializerEncode_v1ArgsKwargs-12    	  671095	      1770 ns/op	    1001 B/op	      10 allocs/op
BenchmarkJSONSerializerEncode_v1ArgsKwargs-12    	  646405	      1768 ns/op	    1001 B/op	      10 allocs/op
BenchmarkJSONSerializerEncode_v1ArgsKwargs-12    	  660436	      1771 ns/op	    1001 B/op	      10 allocs/op
BenchmarkJSONSerializerEncode_v1ArgsKwargs-12    	  668602	      1773 ns/op	    1001 B/op	      10 allocs/op
PASS
ok  	github.com/dryarullin/gopher-celery/internal/protocol	115.912s
